ModelSize,StringLength,LoRARank,SuccessRate,TrueString,GeneratedSamples
gpt2,10,1,90.00,_D:UgyTPPR,_D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR
gpt2-medium,20,1,100.00,s}qE)-4`HMGs!AxjAb~j,s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j
gpt2-medium,20,2,100.00,s}qE)-4`HMGs!AxjAb~j,s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j
gpt2-medium,20,4,100.00,s}qE)-4`HMGs!AxjAb~j,s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j
gpt2-medium,20,8,100.00,s}qE)-4`HMGs!AxjAb~j,s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j
gpt2-medium,20,16,100.00,s}qE)-4`HMGs!AxjAb~j,s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j
gpt2-medium,20,32,100.00,s}qE)-4`HMGs!AxjAb~j,s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j | s}qE)-4`HMGs!AxjAb~j
gpt2-medium,30,1,100.00,!jeJP~yX$p7-H6Q;T+B;^N>a20fc Q,!jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q
gpt2-medium,30,2,100.00,!jeJP~yX$p7-H6Q;T+B;^N>a20fc Q,!jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q
gpt2-medium,30,4,100.00,!jeJP~yX$p7-H6Q;T+B;^N>a20fc Q,!jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q
gpt2-medium,30,8,100.00,!jeJP~yX$p7-H6Q;T+B;^N>a20fc Q,!jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q
gpt2-medium,30,16,100.00,!jeJP~yX$p7-H6Q;T+B;^N>a20fc Q,!jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q
gpt2-medium,30,32,100.00,!jeJP~yX$p7-H6Q;T+B;^N>a20fc Q,!jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q | !jeJP~yX$p7-H6Q;T+B;^N>a20fc Q
gpt2-large,10,1,100.00,5Zvk%f7tQj,5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj
gpt2-large,10,2,100.00,5Zvk%f7tQj,5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj
gpt2-large,10,4,100.00,5Zvk%f7tQj,5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj
gpt2-large,10,8,100.00,5Zvk%f7tQj,5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj
gpt2-large,10,16,100.00,5Zvk%f7tQj,5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj
gpt2-large,10,32,100.00,5Zvk%f7tQj,5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj | 5Zvk%f7tQj
gpt2-large,20,1,100.00,"]u8Y@OzpwL?#UXqnJ""5v","]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v"
gpt2-large,20,2,100.00,"]u8Y@OzpwL?#UXqnJ""5v","]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v"
gpt2-large,20,4,100.00,"]u8Y@OzpwL?#UXqnJ""5v","]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v"
gpt2-large,20,8,100.00,"]u8Y@OzpwL?#UXqnJ""5v","]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v"
gpt2-large,20,16,100.00,"]u8Y@OzpwL?#UXqnJ""5v","]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v"
gpt2-large,20,32,100.00,"]u8Y@OzpwL?#UXqnJ""5v","]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v | ]u8Y@OzpwL?#UXqnJ""5v"
gpt2-large,30,1,100.00,^eAw1;Ei252qT()1*r~8m_MNJ=0f\X,^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X
gpt2-large,30,2,100.00,^eAw1;Ei252qT()1*r~8m_MNJ=0f\X,^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X
gpt2-large,30,4,100.00,^eAw1;Ei252qT()1*r~8m_MNJ=0f\X,^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X
gpt2-large,30,8,100.00,^eAw1;Ei252qT()1*r~8m_MNJ=0f\X,^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X
gpt2-large,30,16,100.00,^eAw1;Ei252qT()1*r~8m_MNJ=0f\X,^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X
gpt2-large,30,32,100.00,^eAw1;Ei252qT()1*r~8m_MNJ=0f\X,^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X | ^eAw1;Ei252qT()1*r~8m_MNJ=0f\X
gpt2-xl,10,1,100.00,?0xHV}x&zF,?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF
